Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-027079,One Health - Miles City Annex,515 Main Street,Miles City,MT,59301-3018,406-874-8700,,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,11/20/2018,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-105.8509355,46.40601574,N,N,30017,Custer County,Custer,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS33884,83930,BPS-H80-037304,PureView Project for Alternative Learning Clinic,815 Front St,Helena,MT,59601-3310,406-457-0000,http://pureviewhealthcenter.org/,45,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/14/2023,PUREVIEW HEALTH CENTER,1930 9th Avenue,Helena,MT,59601-9753,"Corporate Entity, Federal Tax Exempt",-112.0356916,46.59522174,N,N,30049,Lewis and Clark County,Lewis and Clark,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS40219,08E01423,BPS-H80-032231,Greater Valley Health Center - Linderman Education Center,124 3rd Ave E RM G007,Kalispell,MT,59901-4530,406-607-4900,greatervalleyhealth.org,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/1/2021,"FLATHEAD COMMUNITY HEALTH CENTER, INC.",1035 1st Ave W,Kalispell,MT,59901-5626,"Corporate Entity, Federal Tax Exempt",-114.3092065,48.19795772,N,N,30029,Flathead County,Flathead,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-027418,Community Health Care Center SBHC Belt,1 Church Street,Belt,MT,59412-7532,406-454-6973,,17,2,School,1,Active,,,2,Seasonal,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/1/2019,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-110.9274367,47.38934986,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS29012,08E01199,BPS-H80-022110,Marias Healthcare Services - Conrad,1 4th Ave SE,Conrad,MT,59425-2323,406-271-2007,,35,7,All Other Clinic Types,1,Active,271866,1790275709,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/15/2018,MARIAS HEALTHCARE SERVICES INC,1950 West Roosevelt Highway,Shelby,MT,59474-1549,"Corporate Entity, Federal Tax Exempt",-111.9466061,48.16897188,N,N,30073,Pondera County,Pondera,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00805,88300,BPS-H80-038530,Northwest Community Health Center Pharmacy - Hwy 2,1401 Minnesota Avenue,Libby,MT,59923-2309,406-293-3784,,59.5,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,4/17/2024,"LINCOLN COUNTY COMMUNITY HEALTH CENTER, INCORPORATED",320 East 2nd Street,Libby,MT,59923-2010,"Corporate Entity, Federal Tax Exempt",-115.5483266,48.38169717,N,N,30053,Lincoln County,Lincoln,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-034150,One Health - Hardin High School,721 N Miles Ave FL 1,Hardin,MT,59034-1621,406-665-4103,,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/28/2021,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-107.6170528,45.73477349,N,N,30003,Big Horn County,Big Horn,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-038848,One Health - Community Partners,1695 Tschache Ln,Bozeman,MT,59715-7965,406-585-1360,,49,7,All Other Clinic Types,1,Active,,1376787770,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/14/2024,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-111.0566841,45.69667465,N,N,30031,Gallatin County,Gallatin,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00528,83430,BPS-H80-036331,PHC - Watershed,2200 Mullan Rd STE A,Missoula,MT,59808-2059,406-258-4949,,35,7,All Other Clinic Types,1,Active,271016,1013623248,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/16/2023,COUNTY OF MISSOULA,301 West Alder Street,Missoula,MT,59802-4192,U.S. Government Entity,-114.0257601,46.88129165,N,N,30063,Missoula County,Missoula,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS33884,83930,BPS-H80-030487,Healthcare for the Homeless,533 N Last Chance Gulch,Helena,MT,59601-3346,406-449-5682,http://pureviewhealthcenter.org/,12,7,All Other Clinic Types,1,Active,11111,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/1/2020,PUREVIEW HEALTH CENTER,1930 9th Avenue,Helena,MT,59601-9753,"Corporate Entity, Federal Tax Exempt",-112.03664,46.59242395,N,N,30049,Lewis and Clark County,Lewis and Clark,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-032612,Community Health Care Center - Vaughn,480 Central Avenue,Vaughn,MT,59487-9716,406-454-6973,www.alluvionhealth.org,52.75,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/7/2021,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.5494765,47.56037245,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-027034,One Health - Miles City,305 S 4th St,Miles City,MT,59301-4175,406-874-8700,www.bighornvalley.org,50,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/23/2018,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-105.8495738,46.40101137,N,N,30017,Custer County,Custer,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00799,83270,BPS-H80-027900,Blacktail Pharmacy,125 E Glendale St,Dillon,MT,59725-2505,406-842-7434,www.swmtchc.org,50,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/15/2021,"BUTTE-SILVER BOW PRIMARY HEALTH CARE CLINIC, INC",445 Centennial Ave,Butte,MT,59701-2870,"Corporate Entity, Federal Tax Exempt",-112.6366496,45.2160019,N,N,30001,Beaverhead County,Beaverhead,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00528,83430,BPS-H80-038990,PHC-Hawthorne Elementary - Behavioral Health,2835 S 3rd St W,Missoula,MT,59804-1139,406-544-0434,,40,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/24/2024,COUNTY OF MISSOULA,301 West Alder Street,Missoula,MT,59802-4192,U.S. Government Entity,-114.0491734,46.8667993,N,N,30063,Missoula County,Missoula,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28359,08E00382,BPS-H80-032881,Victor School District,"425 Forth Ave,  Room 101",Victor,MT,59875-9468,406-642-3446,,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/4/2021,"SAPPHIRE COMMUNITY HEALTH, INC","316 North 3rd Street, #101",Hamilton,MT,59840-2475,"Corporate Entity, Federal Tax Exempt",-114.150964,46.41546102,N,N,30081,Ravalli County,Ravalli,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00704,82160,BPS-H80-039100,Ag Worker Health & Services,3318 3rd Avenue North,Billings,MT,59101-1900,406-248-3149,https://www.agworker.org,40,7,All Other Clinic Types,1,Active,271851,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/27/2024,MONTANA MIGRANT & SEASONAL FARM WORKERS,"3318 3rd Ave N, Ste 200",Billings,MT,59101-1900,"Corporate Entity, Federal Tax Exempt",-108.514342,45.78045281,N,N,30111,Yellowstone County,Yellowstone,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-027422,Community Health Care Center SBHC North Middle School,2601 8th Street Northeast,Great Falls,MT,59404-1699,406-454-6973,,16,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/1/2019,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.2946018,47.53025112,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00805,88300,BPS-H80-003713,Northwest Community Health Center,320 E 2nd St,Libby,MT,59923-2010,406-293-3755,na,46.5,7,All Other Clinic Types,1,Active,271814,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,2/12/2007,"LINCOLN COUNTY COMMUNITY HEALTH CENTER, INCORPORATED",320 East 2nd Street,Libby,MT,59923-2010,"Corporate Entity, Federal Tax Exempt",-115.5466725,48.39271019,N,N,30053,Lincoln County,Lincoln,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00528,83430,BPS-H80-015251,Lowell School Health Center,1150 Sherwood St,Missoula,MT,59802-2377,406-258-4789,,44,2,School,1,Active,271861,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/22/2015,COUNTY OF MISSOULA,301 West Alder Street,Missoula,MT,59802-4192,U.S. Government Entity,-114.0077764,46.87999062,N,N,30063,Missoula County,Missoula,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS29012,08E01199,BPS-H80-015584,Marias Healthcare Services - Sunburst,13 1st Street South,Sunburst,MT,59482,406-434-3118,www.mmcmt.org,15,7,All Other Clinic Types,1,Active,271827,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/1/2015,MARIAS HEALTHCARE SERVICES INC,1950 West Roosevelt Highway,Shelby,MT,59474-1549,"Corporate Entity, Federal Tax Exempt",-111.9086103,48.88280908,N,N,30101,Toole County,Toole,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS40219,08E01423,BPS-H80-038102,Greater Valley Health Center - Administration,1035 1st Ave W STE 210,Kalispell,MT,59901-5607,406-607-4900,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,1/13/2024,"FLATHEAD COMMUNITY HEALTH CENTER, INC.",1035 1st Ave W,Kalispell,MT,59901-5626,"Corporate Entity, Federal Tax Exempt",-114.3111972,48.18811724,N,N,30029,Flathead County,Flathead,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-036027,One Health - CMHD,333 2nd Ave N STE 2,Lewistown,MT,59457-2707,406-535-7433,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,12/8/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-109.4265894,47.0673552,N,N,30027,Fergus County,Fergus,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-037451,One Health - Glendive,1515 W Bell St UNIT 15,Glendive,MT,59330-3240,406-815-5831,onechc.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/29/2023,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-104.7365653,47.10533343,N,N,30021,Dawson County,Dawson,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-036026,One Health - HOPE Center,809 N Custer Ave,Hardin,MT,59034-1311,406-209-0109,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,12/8/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-107.6074967,45.73672706,N,N,30003,Big Horn County,Big Horn,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-032058,Community Health Care Center - Pharmacy,105 6th Street North,Great Falls,MT,59401-2531,406-454-6973,,52.5,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/12/2021,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.2973098,47.50661176,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS40219,08E01423,BPS-H80-037015,Greater Valley Health Center - Glacier High School,375 Wolfpack Way RM C101,Kalispell,MT,59901-1207,406-607-4900,,8,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/28/2023,"FLATHEAD COMMUNITY HEALTH CENTER, INC.",1035 1st Ave W,Kalispell,MT,59901-5626,"Corporate Entity, Federal Tax Exempt",-114.3448287,48.23846255,N,N,30029,Flathead County,Flathead,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-035747,Community Health Care Center - SBHC West Elementary School,1205 1st Ave NW STE A,Great Falls,MT,59404-2202,406-454-6973,www.alluvionhealth.org,24,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/30/2022,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.333031,47.50880455,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS33884,83930,BPS-H80-038776,PureView YWCA Helena,501 North Park Avenue,Helena,MT,59601-2703,406-422-8774,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/10/2024,PUREVIEW HEALTH CENTER,1930 9th Avenue,Helena,MT,59601-9753,"Corporate Entity, Federal Tax Exempt",-112.0402228,46.59217836,N,N,30049,Lewis and Clark County,Lewis and Clark,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00418,82500,BPS-H80-012487,Lil Anderson Center,2626 1st Ave S,Billings,MT,59101-4228,406-247-3200,,1,7,All Other Clinic Types,1,Active,271858,,1,Permanent,1,Administrative,1,Health Center/Applicant,2,Part-Time,1,Year-Round,4/1/2013,YELLOWSTONE CITY COUNTY HEALTH DEPARTMENT,123 S 27th St,Billings,MT,59101-4227,U.S. Government Entity,-108.5009486,45.78048604,N,N,30111,Yellowstone County,Yellowstone,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00704,82160,BPS-H80-032257,Ag Worker Health & Services - Mobile Medical Unit,6385 US Highway 10 W,Missoula,MT,59808-9085,800-813-4492,https://www.agworker.org,40,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/30/2021,MONTANA MIGRANT & SEASONAL FARM WORKERS,"3318 3rd Ave N, Ste 200",Billings,MT,59101-1900,"Corporate Entity, Federal Tax Exempt",-114.1029419,46.93205387,N,N,30063,Missoula County,Missoula,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28359,08E00382,BPS-H80-036244,Mobile Medical Unit,316 North 3rd Street,Hamilton,MT,59840-2480,406-541-0032,sapphirechc.org,32,7,All Other Clinic Types,1,Active,MO11006954,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/27/2023,"SAPPHIRE COMMUNITY HEALTH, INC","316 North 3rd Street, #101",Hamilton,MT,59840-2475,"Corporate Entity, Federal Tax Exempt",-114.1589677,46.24978884,N,N,30081,Ravalli County,Ravalli,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS29012,08E01199,BPS-H80-040058,Conrad Schools,308 South Illinois Street,Conrad,MT,59425-1900,406-434-3100,,4,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,4/8/2025,MARIAS HEALTHCARE SERVICES INC,1950 West Roosevelt Highway,Shelby,MT,59474-1549,"Corporate Entity, Federal Tax Exempt",-111.953546,48.17212138,N,N,30073,Pondera County,Pondera,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS29012,08E01199,BPS-H80-033747,Marias Healthcare Service Inc - Shelby,1950 West Roosevelt Highway,Shelby,MT,59474-1549,406-434-3100,www.mariashealth.org,50,7,All Other Clinic Types,1,Active,271825,1881697209,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/15/2021,MARIAS HEALTHCARE SERVICES INC,1950 West Roosevelt Highway,Shelby,MT,59474-1549,"Corporate Entity, Federal Tax Exempt",-111.881364,48.51763613,N,N,30101,Toole County,Toole,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00704,82160,BPS-H80-021199,Ag Worker Health & Services,116 N Washington St,Dillon,MT,59725-2631,406-683-5570,https://www.agworker.org,40,7,All Other Clinic Types,1,Active,271853,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/25/2017,MONTANA MIGRANT & SEASONAL FARM WORKERS,"3318 3rd Ave N, Ste 200",Billings,MT,59101-1900,"Corporate Entity, Federal Tax Exempt",-112.6344258,45.2174504,N,N,30001,Beaverhead County,Beaverhead,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-030276,One Health - Campus,1223 N Center Ave,Hardin,MT,59034-1100,406-665-4103,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/28/2020,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-107.605976,45.74148436,N,N,30003,Big Horn County,Big Horn,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-027139,Community Health Care Center @ CCHD,115 4th St S,Great Falls,MT,59401-3618,406-454-6973,www.chccgf.org,55,7,All Other Clinic Types,1,Active,271811,1902948946,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/1/2019,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.3007925,47.50338301,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00799,83270,BPS-H80-028272,BUTTE RESCUE MISSION,610 E Platinum St,Butte,MT,59701-1930,406-782-0925,,4,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/19/2019,"BUTTE-SILVER BOW PRIMARY HEALTH CARE CLINIC, INC",445 Centennial Ave,Butte,MT,59701-2870,"Corporate Entity, Federal Tax Exempt",-112.5283327,46.00923114,N,N,30093,Silver Bow County,Silver Bow,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00528,83430,BPS-H80-015227,Poverello Center,1110 West Broadway,Missoula,MT,59802,406-258-4789,,39,7,All Other Clinic Types,1,Active,271842,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/15/2015,COUNTY OF MISSOULA,301 West Alder Street,Missoula,MT,59802-4192,U.S. Government Entity,-114.008944,46.87660454,N,N,30063,Missoula County,Missoula,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-036053,One Health - Miles City Finance,2000 Clark St STE 13,Miles City,MT,59301-2726,406-209-0109,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,12/16/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-105.8353341,46.41099543,N,N,30017,Custer County,Custer,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-017520,One Health - Ashland,501 Main Street,Ashland,MT,59003-7701,406-748-3622,,8,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/1/2015,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-106.2671625,45.59204908,N,N,30087,Rosebud County,Rosebud,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00418,82500,BPS-H80-039409,RiverStone Health Clinic-Joliet-602 W Front Ave,602 West Front Avenue,Joliet,MT,59041-9410,406-962-9062,https://riverstonehealth.org/,16,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/30/2024,YELLOWSTONE CITY COUNTY HEALTH DEPARTMENT,123 S 27th St,Billings,MT,59101-4227,U.S. Government Entity,-108.9793238,45.48208283,N,N,30009,Carbon County,Carbon,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
