FACILITY NAME,ID NUMBER,TELEPHONE,ADDRESS,UNIT,CITY,COUNTY,ZIP,LICENSE TYPE,CAPACITY,,Mammography,,,Home Health Agency,,,Hospice,,,Ambulatory Surgical Facility,,,Hospital,,,Assisted Living Facility - Type I,,,Assisted Living Facility - Type II,,,End Stage Renal Disease Facility,,,Birthing Center,,,Abortion Clinic,,,Nursing Care Facility,,,Small Health Care Facility,,,Small Health Care Facility - Type N,,Personal Care Agency,
Redstone Health Center - Mammography Clinic,F23-106935,4356589185,1743 West Redstone Center Drive,,Park City,Summit,84098,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redwood Health Center,F23-106449,8012138922,1525 West 2100 South,,Salt Lake City,Salt Lake,84119,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revere Health Imaging,F23-106840,8018124624,1055 North 500 West,Suite 112,Provo,Utah,84604,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revere Health Imaging - Salem,F23-106477,8018124851,555 W Highway 164,Suite 107,Salem,Utah,84653,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revere Health Imaging - St George,F23-106872,4359862238,2825 East Mall Drive,,Saint George,Washington,84790,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revere Health Imaging- American Fork,F23-106637,8018124624,1175 East 50 South,Suite 141,American Fork,Utah,84003,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgeview Gardens Of St George,F23-106579,4356562700,220 South 1200 East,,Saint George,Washington,84790,Assisted Living Facility - Type II,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Meadows Senior Living,F23-106773,8016922100,137 East Red Pine Drive,,Alpine,Utah,84004,Assisted Living Facility - Type II,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverton Hospital Mammography,F23-106782,8015077835,3741 West 12600 South,,Riverton,Salt Lake,84065,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverway Assisted Living and Memory Care,F23-106867,8012823711,1352 West 11400 South,,South Jordan,Salt Lake,84095,Assisted Living Facility - Type II,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riverwoods Advanced Diagnostic Imaging, Inc",F23-106785,8012292002,3152 North University Avenue,Suite 100,Provo,Utah,84604,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Care - Grove Creek Assisted Living,F23-106796,3852737100,175 North State Street,,Lindon,Utah,84042,Assisted Living Facility - Type II,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Care - Landmark Assisted Living,F23-106887,4357893000,301 East 100 South,,Vernal,Uintah,84078,Assisted Living Facility - Type II,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Care - River Pointe Assisted Living,F23-106700,8013752216,462 South 900 East,,Provo,Utah,84606,Assisted Living Facility - Type II,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Care -Spring Hollow Assisted Living and Memory Care,F23-106530,3854975100,92 South 800 East,,Orem,Utah,84097,Assisted Living Facility - Type II,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosecrest Assisted Living,F23-106962,4356737398,48 West 700 South,,Saint George,Washington,84770,Assisted Living Facility - Type I,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosewood Assisted Care,F23-106849,8012906061,464 East 3700 South,,South Salt Lake,Salt Lake,84115,Assisted Living Facility - Type II,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagewood At Daybreak,F23-107027,8019389389,11289 South Oakmond Road,,South Jordan,Salt Lake,84009,Assisted Living Facility - Type II,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt Lake Clinic Radiology,F23-106672,3852822266,389 South 900 East,,Salt Lake City,Salt Lake,84102,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Dialysis,F23-106524,3853463024,8750 South Sandy Parkway,,Sandy,Salt Lake,84070,End Stage Renal Disease Facility,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanpete Valley Hospital Mammography,F23-106780,4354624156,1100 South Medical Drive,,Mount Pleasant,Sanpete,84647,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Daft Home,F23-106662,8013974697,737 South 1300 East,,Salt Lake City,Salt Lake,84102,Assisted Living Facility - Type I,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasons Assisted Living of Farr West,F23-106602,8013940044,1979 Heritage Drive,,Farr West,Weber,84404,Assisted Living Facility - Type II,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasons of Santaquin,F23-106616,8017541108,785 East 150 South,,Santaquin,Utah,84655,Assisted Living Facility - Type II,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sego Lily Assisted Living,F23-106739,8013678854,465 East Sego Lily Drive,,Sandy,Salt Lake,84070,Assisted Living Facility - Type I,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevier Valley Dialysis,F23-106993,4358930358,81 East 900 North,,Richfield,Sevier,84701,End Stage Renal Disease Facility,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevier Valley Hospital Mammography,F23-106911,4358930872,1000 North Main Street,,Richfield,Sevier,84701,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Jordan Health Center - Mammography Clinic,F23-106784,8012135131,5126 Daybreak Parkway,,South Jordan,Salt Lake,84009,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Mountain Dialysis, LLC",F23-106685,8012539696,10969 South River Front Parkway,Suite 100,South Jordan,Salt Lake,84095,End Stage Renal Disease Facility,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ogden Home,F23-106929,8016272886,475 East 40Th Street,Suite 110,Ogden,Weber,84403,End Stage Renal Disease Facility,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southgate Senior Living,F23-106983,4356281117,134 West 2025 South Circle,,Saint George,Washington,84770,Assisted Living Facility - Type II,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish Fork Hospital Mammography,F23-106660,3853445822,765 East Market Place Drive,,Spanish Fork,Utah,84660,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Gardens Draper,F23-106870,3853863003,1393 East Pioneer Road,,Draper,Salt Lake,84020,Assisted Living Facility - Type II,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Gardens Heber,F23-106712,4356578888,551 East 1200 South,,Heber City,Wasatch,84032,Assisted Living Facility - Type II,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Gardens Holladay,F23-107029,8014327003,2728 East 3900 South,,Holladay,Salt Lake,84124,Assisted Living Facility - Type II,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Gardens Mapleton,F23-106847,8015156699,1483 West 800 South,,Mapleton,Utah,84664,Assisted Living Facility - Type II,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Gardens Midvale,F23-106881,3857229700,6968 South 700 West,,Midvale,Salt Lake,84047,Assisted Living Facility - Type II,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Gardens Of St George,F23-107020,4356881622,2654 East Red Cliffs Drive,,Saint George,Washington,84790,Assisted Living Facility - Type II,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Gardens of Lindon,F23-106447,8017850800,815 West 700 North,,Lindon,Utah,84042,Assisted Living Facility - Type II,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Srs - American Fork, LLC",F23-106594,6159887881,1159 East 200 North,Suite 150,American Fork,Utah,84003,End Stage Renal Disease Facility,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Srs - Payson, LLC",F23-106527,8014652060,15 South 1000 East,Suite 50,Payson,Utah,84651,End Stage Renal Disease Facility,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Srs - Provo, LLC",F23-106997,8013730167,1675 North Freedom Boulevard,,Provo,Utah,84604,End Stage Renal Disease Facility,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St George Regional Hospital Womens Imaging,F23-106989,4352515110,1380 East Medical Center Drive,,Saint George,Washington,84770,Mammography,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mark's Hospital Women's Diagnostic Center,F23-106753,8017436501,1140 East 3900 South,,Salt Lake City,Salt Lake,84124,Mammography,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph Villa Assisted Living,F23-106981,8014877557,451 East Bishop Federal Lane,,Salt Lake City,Salt Lake,84115,Assisted Living Facility - Type II,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Court,F23-107073,4356281400,324 North 1680 East,,Saint George,Washington,84790,Assisted Living Facility - Type II,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoney Brooke Of Riverdale,F23-106743,8013932824,4390 South 700 West,,Riverdale,Weber,84405,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summerfield Retirement Living Inc,F23-106819,8014347581,911 North 800 West,,Orem,Utah,84057,Assisted Living Facility - Type II,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit Senior Living,F23-106851,8018404600,5524 West 6200 South,,Kearns,Salt Lake,84118,Assisted Living Facility - Type II,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunflower Ridge Assisted Living,F23-106536,8013975544,41 East Center Street,,Centerville,Davis,84014,Assisted Living Facility - Type I,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunridge Assisted Living And Memory Care,F23-106852,8012802244,7037 South 4800 West,,West Jordan,Salt Lake,84084,Assisted Living Facility - Type II,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunridge Assisted Living Of Roy,F23-106958,8017314444,3673 West 5600 South,,Roy,Weber,84067,Assisted Living Facility - Type II,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunridge Assisted Living of Layton,F23-106955,8015442200,835 South Angel Street,,Layton,Davis,84041,Assisted Living Facility - Type II,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise Of Sandy,F23-106690,8014539600,2130 East 9400 South,,Sandy,Salt Lake,84093,Assisted Living Facility - Type II,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise at Holladay,F23-107010,8014242200,4650 South Highland Drive,,Salt Lake City,Salt Lake,84117,Assisted Living Facility - Type II,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrace Grove Assisted Living,F23-106820,4357872855,345 North 200 West,,Logan,Cache,84321,Assisted Living Facility - Type II,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Abbington At Murray,F23-107033,3852893700,5377 South State Street,,Murray,Salt Lake,84107,Assisted Living Facility - Type II,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Abbington at St. George,F23-109138,4352408888,782 South 1450 East,,Saint George,Washington,84790,Assisted Living Facility - Type II,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Abbington of Layton,F23-106804,4352813500,350 South 100 West,,Layton,Davis,84041,Assisted Living Facility - Type II,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Auberge at North Ogden,F23-107069,8017371230,1340 North Washington Boulevard,,Ogden,Weber,84404,Assisted Living Facility - Type II,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beaumont,F23-106732,8012163417,1150 South Main Street,,Bountiful,Davis,84010,Assisted Living Facility - Type II,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boob Bus,F24-110357,2173130746,10927 South Wood Stone Circle,,South Jordan,Salt Lake,84095,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Charleston At Cedar Hills,F23-106771,8017720123,10020 North 4600 West,,Cedar Hills,Utah,84062,Assisted Living Facility - Type II,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grand At Holladay,F23-106795,8016769688,5941 South Holladay Boulevard,,Holladay,Salt Lake,84121,Assisted Living Facility - Type II,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The INN Between,F23-106952,8014108314,1216 East 1300 South,,Salt Lake City,Salt Lake,84105,Assisted Living Facility - Type II,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Inn On Barton Creek,F23-106801,8012984200,499 East 500 South,,Bountiful,Davis,84010,Assisted Living Facility - Type II,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lodge At North Ogden,F23-107042,8017195121,204 East 1700 North,,Ogden,Weber,84404,Assisted Living Facility - Type II,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lodge at Jordan River,F23-106691,8013161040,1341 West South Jordan Parkway,,South Jordan,Salt Lake,84095,Assisted Living Facility - Type II,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lodge at Riverton,F23-106552,8017277200,12416 South 3600 West,,Riverton,Salt Lake,84065,Assisted Living Facility - Type II,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Meadows at Escalante I,F23-106563,4356280090,950 South 400 East,,Saint George,Washington,84770,Assisted Living Facility - Type I,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Meadows at Escalante II,F23-106456,4356280090,950 South 400 East,,Saint George,Washington,84770,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Meadows at Escalante III,F23-106607,4356280090,333 East 1160 South,,Saint George,Washington,84770,Assisted Living Facility - Type II,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Peaks At Clinton,F23-106605,8015811576,1404 North 2000 West,,Clinton,Davis,84015,Assisted Living Facility - Type II,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Peaks At South Jordan,F23-106448,8012600007,2664 West 11400 South,,South Jordan,Salt Lake,84095,Assisted Living Facility - Type II,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Retreat at Sunbrook Assisted Living,F23-106601,4352720202,359 North Dixie Drive,,Saint George,Washington,84770,Assisted Living Facility - Type II,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Retreat at Sunriver St. George,F23-106936,4352568900,4480 South Arrowhead Canyon Drive,,Saint George,Washington,84790,Assisted Living Facility - Type II,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ridge Cottonwood,F23-106550,8019477400,5600 South Highland Drive,,Holladay,Salt Lake,84121,Assisted Living Facility - Type II,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ridge Foothill,F23-106608,8014661122,2363 South Foothill Drive,,Salt Lake City,Salt Lake,84109,Assisted Living Facility - Type II,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Valencia at Draper,F23-106581,3853008380,11631 South 700 East,,Draper,Salt Lake,84020,Assisted Living Facility - Type II,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Villas At Baer Creek,F23-106846,3858889063,770 South Main Street,,Kaysville,Davis,84037,Assisted Living Facility - Type II,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wellington,F23-106508,8012813477,4522 South 1300 East,,Salt Lake City,Salt Lake,84117,Assisted Living Facility - Type II,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Peaks Assisted Living,F23-106649,4355656224,2258 North 75 East,,Cedar City,Iron,84721,Assisted Living Facility - Type II,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timpanogos Dialysis Center,F23-106835,8013568907,1055 North 500 West,Suite 222,Provo,Utah,84604,End Stage Renal Disease Facility,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timpanogos Regional Hospital Mammography,F23-106516,8017146541,750 West 800 North,,Orem,Utah,84057,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tooele Valley Dialysis Center,F23-106586,8014081430,2356 North 400 East,"Suite B102 Northpointe Medical Park, Building B",Tooele,Tooele,84074,End Stage Renal Disease Facility,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tradition Assisted Living,F23-106702,8019782424,2938 South Redwood Road,,West Valley City,Salt Lake,84119,Assisted Living Facility - Type II,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traverse Point Dialysis,F23-107045,3853741498,1250 West Sandalwood Drive,,Lehi,Utah,84043,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truewood By Merrill, Cottonwood Heights",F23-106509,8015689909,7235 South Union Park Avenue,,Cottonwood Heights,Salt Lake,84047,Assisted Living Facility - Type II,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truewood By Merrill, Taylorsville",F23-106504,8019664286,2011 West 4700 South,,Taylorsville,Salt Lake,84129,Assisted Living Facility - Type I,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twin Oaks Senior Living, LLC",F23-106874,8018938955,654 East 3300 South,,Salt Lake City,Salt Lake,84106,Assisted Living Facility - Type II,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U S Renal Care Layton Crossing Dialysis,F23-106951,8016830679,756 North Main Street,,Layton,Davis,84041,End Stage Renal Disease Facility,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U S Renal Care Logan Dialysis,F23-106950,4352164248,480 North 100 East,Suite 100,Logan,Cache,84321,End Stage Renal Disease Facility,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Renal Care Ogden Dialysis,F23-106944,3853424310,4345 Harrison Boulevard,Suite 100,Ogden,Weber,84403,End Stage Renal Disease Facility,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uintah Basin Medical Center Dialysis Roosevelt,F23-107082,4357252008,205 West 300 North,,Roosevelt,Duchesne,84066,End Stage Renal Disease Facility,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uintah Basin Medical Center Dialysis Vernal,F23-106829,4357812335,224 East 500 South,,Vernal,Uintah,84078,End Stage Renal Disease Facility,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uintah Basin Medical Center/Women's Health Center,F23-106517,4357252081,250 West 300 North,,Roosevelt,Duchesne,84066,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unr Bear River Hospital,F23-106634,4352074555,905 North 1000 West,,Tremonton,Box Elder,84337,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Dialysis,F23-107084,8014081400,1000 South Main Street,Suite 105,Salt Lake City,Salt Lake,84101,End Stage Renal Disease Facility,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Navajo Health System,F23-106714,4356513751,1478 East Hwy 162,,Montezuma Creek,San Juan,84534,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah State Developmental Center,F23-106918,8017634091,895 North 900 East,,American Fork,Utah,84003,Nursing Care Facility,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Valley Dialysis Center,F23-106523,8013735400,1055 North 500 West,Suite 221,Provo,Utah,84604,End Stage Renal Disease Facility,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Valley Hospital Mammography,F23-106825,8013573165,1034 North 500 West,,Provo,Utah,84604,Mammography,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia At Willow Creek,F23-106665,8017336363,8325 South Highland Drive,,Sandy,Salt Lake,84093,Assisted Living Facility - Type II,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victorian House Assisted Living,F23-108243,8013805228,275 North 500 East,,Levan,Juab,84639,Assisted Living Facility - Type I,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wasatch Midwifery And Wellness, LLC",F23-106720,3852371568,6440 South Wasatch Boulevard,Suite 140,Holladay,Salt Lake,84121,Birthing Center,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wasatch Women's Center, Inc",F23-106858,8012632111,715 East 3900 South,Suite 203,Salt Lake City,Salt Lake,84107,Abortion Clinic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome Home Assisted Living,F23-107007,8012984969,633 East Medical Drive,,Bountiful,Davis,84010,Assisted Living Facility - Type II,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome Home Assisted Living American Fork,F23-106882,8018992682,1889 West 930 North,,Pleasant Grove,Utah,84062,Assisted Living Facility - Type II,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Jordan Care Center,F23-106526,8012820686,3350 West 7800 South,,West Jordan,Salt Lake,84088,Nursing Care Facility,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Valley Dialysis,F23-106440,3853463823,3854 West 5400 South,,Taylorsville,Salt Lake,84129,End Stage Renal Disease Facility,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whisper Cove Assisted Living And Memory Care,F23-106794,8018746464,725 South Main Street,,Kaysville,Davis,84037,Assisted Living Facility - Type II,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zion Intermediate Care, Inc. North",F23-107086,8012926797,340 North 100 West,,Bountiful,Davis,84010,Small Health Care Facility - Type N,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zion Intermediate Care, Inc. West",F23-106836,8019688122,4028 South 4800 West,,West Valley City,Salt Lake,84120,Small Health Care Facility - Type N,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Assist Care Of Utah Valley,F23-106956,8018520072,180 North University Avenue,Suite 270,Provo,Utah,84601,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Gentle Touch Home Care,F23-106774,4356743640,1173 South 250 West,Suite 401B,Saint George,Washington,84770,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Plus Healthcare at Home-Home Health,F23-107170,8012250990,1443 North 1200 West,,Orem,Utah,84057,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Plus Healthcare at Home-Hospice,F23-107285,8012250990,1443 North 1200 West,,Orem,Utah,84057,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AFI Advanced Care Home Health, LLC",F23-107338,8015467417,1133 North Main Street,Suite 300,Layton,Davis,84041,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AFI Hospice, LLC",F23-107222,3854600988,1795 South Chelemes Way,Suite 200,Clearfield,Davis,84015,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability Home Health,F23-107250,3852871311,406 West South Jordan Parkway,Suite 450,South Jordan,Salt Lake,84095,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability Hospice,F23-107357,8013104604,406 West South Jordan Parkway,Suite 450,South Jordan,Salt Lake,84095,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Above & Beyond Care LLC,F23-106946,7024293672,987 Water Trail Cove,,South Jordan,Salt Lake,84095,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accredo Health Group, Inc",F23-106797,8018320222,3488 South Main Street,,Salt Lake City,Salt Lake,84115,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active Home Health,F23-107310,8014386285,8180 South 700 East,Suite 100,Sandy,Salt Lake,84070,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Active Hospice, LLC",F23-107211,8014386285,8180 South 700 East,Suite 100,Sandy,Salt Lake,84070,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active Personal Care,F23-107050,8014386285,8180 South 700 East,Suite 100,Sandy,Salt Lake,84070,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Care Of Salem,F23-106555,8017547200,555 West Sr 164,Suite B,Salem,Utah,84653,Nursing Care Facility,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Care Of St George,F23-106479,4355222100,1934 East Riverside Drive,,Saint George,Washington,84790,Nursing Care Facility,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Home Health of St George,F23-107261,4355222200,1934 East Riverside Drive,,Saint George,Washington,84790,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Hospice of St. George,F23-107213,4355222200,1934 East Riverside Drive,,Saint George,Washington,84790,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
